"category","word","meaning","example","translation","count"
"idioms","On a tight budget (adjective)","Having limited money to spend.","When I’m on a tight budget, I only buy essentials.","ngân sách eo hẹp",0
"idioms","Sales Assistant (noun)","A person who helps customers in a store.","Sales assistants sometimes overwhelm me when I just want to browse.","nhân viên bán hàng",0
"idioms","Trolls (noun)","People who post offensive or upsetting content online.","Social media platforms struggle to manage internet trolls.","kẻ phá rối trên mạng",0
"idioms","Derogatory (adjective)","Disrespectful or insulting in tone or intent.","He received backlash for making derogatory comments online.","xúc phạm, miệt thị",0
"idioms","Influencer (noun)","Someone who affects public opinion through social media presence.","Many influencers earn a living through product endorsements.","người ảnh hưởng",0
"idioms","Instagrammable (adjective)","Visually appealing and suitable for posting on social media.","The restaurant’s dishes are incredibly instagrammable.","đẹp để đăng Instagram",0
"idioms","News feed (noun)","A stream of updates and content shown on a user’s homepage.","I often get lost scrolling through my news feed for hours.","bảng tin",0
"idioms","To monetize (verb)","To generate income from an activity or content.","He found a way to monetize his YouTube channel effectively.","kiếm tiền từ",0
"idioms","Meme (noun)","A humorous image or text shared widely online.","That meme went viral in just a few hours.","ảnh chế",0
"idioms","To vlog (verb)","To create and post video content about daily life or interests.","She vlogs about her travels around Southeast Asia.","quay video nhật ký",0
"idioms","Filter (noun)","A digital effect that alters images or videos.","The filter made her selfie look flawless.","bộ lọc ảnh",0
"idioms","Go viral (verb)","To spread rapidly and widely online.","The funny video went viral overnight.","lan truyền mạnh",0
"idioms","Astronaut (noun)","A person trained to travel in space.","Becoming an astronaut requires years of training.","phi hành gia",0
"idioms","Extraterrestrial life (noun)","Life that originates outside of Earth.","Scientists are still searching for extraterrestrial life.","sự sống ngoài hành tinh",0
"idioms","The commercial exploitation of space (phrasal noun)","The act of profiting from activities in space.","Companies are racing toward the commercial exploitation of space through tourism and mining.","khai thác thương mại không gian",0
"idioms","The militarization of space (phrasal noun)","The deployment of weapons and military systems into outer space.","Experts warn that the militarization of space could spark a new kind of arms race.","quân sự hóa không gian",0
"idioms","Deep space (noun)","Regions of space that are far from Earth and the Moon.","Exploring deep space will likely be the next big leap for human civilization.","vũ trụ sâu",0
"idioms","Cryogenic (adjective)","Relating to very low temperatures, often used to preserve bodies or objects.","In many science fiction stories, cryogenic sleep helps astronauts endure long missions.","thuộc nhiệt độ cực thấp",0
"idioms","Light-year (noun)","A unit of distance showing how far light travels in one year.","The closest star to Earth is around four light-years away.","năm ánh sáng",0
"idioms","Astronomy (noun)","The scientific study of planets, stars, and outer space.","Astronomy requires both theoretical knowledge and observational skills.","thiên văn học",0
"idioms","In orbit (adjective)","Circulating around a planet or celestial body in space.","Thousands of satellites are currently in orbit around Earth.","đang quay quanh quỹ đạo",0
"idioms","Awe-inspiring (adjective)","So impressive that it causes deep admiration or amazement.","Seeing a full solar eclipse in person is absolutely awe-inspiring.","gây kinh ngạc",0
"idioms","Camaraderie (noun)","A strong sense of friendship and loyalty among people in a group.","There was clear camaraderie among the teammates after their victory.","tình bạn thân thiết",0
"idioms","Go toe to toe (idiom, verb)","To challenge someone directly and forcefully.","The underdog team went toe to toe with the reigning champions and nearly won.","đối đầu trực diện",0
"idioms","To leave it all out on the field (idiom, verb)","To give maximum effort with nothing held back.","She left it all out on the field and had no regrets about the result.","dốc hết sức",0
"idioms","Spectator sport (noun)","A sport that is enjoyable to watch live or on TV.","Tennis has grown into a major global spectator sport.","môn thể thao thu hút người xem",0
"idioms","Take up (verb)","To begin learning or doing a new activity.","I decided to take up painting as a way to relax after work.","bắt đầu một hoạt động",0
"idioms","Practice religiously","To do something consistently and with full dedication.","He practices religiously every morning before school to improve his skills.","luyện tập nghiêm túc",0
"idioms","Contact sport (noun)","A sport involving physical contact between players.","Rugby is a high-intensity contact sport that demands strength and stamina.","môn thể thao có va chạm",0
"idioms","Exhilarating (adjective)","Causing great excitement and joy.","The rollercoaster ride was exhilarating from start to finish.","gây phấn khích",0
"idioms","Go down to the wire (idiom, verb)","To continue until the last possible moment before a decision or outcome is clear.","The championship went down to the wire with a last-minute goal.","kéo dài đến phút chót",0
"idioms","Get a standing ovation","To receive enthusiastic applause where everyone stands up.","The actress got a standing ovation for her powerful performance.","được đứng dậy vỗ tay khen ngợi",0
"idioms","Breakthrough (noun)","A significant and sudden discovery or progress.","The scientist’s breakthrough changed how we treat the disease.","đột phá",0
"idioms","In layman’s terms (adverbial phrase)","Explained in simple, easy-to-understand language.","Can you explain quantum computing in layman’s terms?","ngôn ngữ dễ hiểu",0
"idioms","Artificial Intelligence (noun)","Technology that simulates human thinking in machines.","Artificial intelligence is transforming industries like healthcare and finance.","trí tuệ nhân tạo",0
"idioms","Luddite (noun, adjective)","A person who resists or dislikes new technology.","Despite being a Luddite, she eventually learned to use a smartphone.","người ghét công nghệ",0
"idioms","Cookies (noun)","Small data files used by websites to track user activity.","Websites now ask for permission before storing cookies on your device.","tập tin cookie",0
"idioms","Obsolete (adjective)","No longer useful or effective due to being outdated.","DVDs have become nearly obsolete in the age of streaming.","lỗi thời",0
"idioms","Game changer (noun)","An event or idea that brings a major shift.","The vaccine was a game changer in the fight against the pandemic.","yếu tố thay đổi cuộc chơi",0
"idioms","Cryptocurrency (noun)","Digital money that exists only online and uses encryption.","Cryptocurrency has become a popular investment despite its volatility.","tiền điện tử",0
"idioms","Cybersecurity (noun)","The practice of safeguarding systems and data from online threats and attacks.","Cybersecurity is crucial for protecting personal and national information from hackers.","an ninh mạng",0
"idioms","User-friendly (adjective)","Easy for people to use, even without technical expertise.","Any software aiming for mass adoption needs to be user-friendly.","thân thiện với người dùng",0
"idioms","Infrastructure (noun)","The basic systems and structures that support a functioning society, like roads and utilities.","The city expanded its infrastructure to improve public transport and reduce congestion.","cơ sở hạ tầng",0
"idioms","Bumper to bumper (idiom, adjective)","Describes traffic that is very dense and barely moving.","The streets were bumper to bumper during the morning commute.","kẹt xe nối đuôi nhau",0
"idioms","Bottleneck (noun)","A point of congestion where traffic flow is restricted.","The construction site created a major bottleneck on the highway.","điểm nghẽn giao thông",0
"idioms","Boy racer (noun)","A young male who drives recklessly and at high speeds.","Boy racers are often responsible for dangerous driving incidents.","tay lái trẻ bốc đồng",0
"idioms","Road rage (noun)","Aggressive or angry behavior by drivers during traffic incidents.","He lost his temper and yelled at another driver in a case of road rage.","cơn giận khi lái xe",0
"idioms","Exhaust fumes (noun)","Polluted gases emitted from a vehicle’s exhaust system.","Reducing exhaust fumes is essential for urban air quality.","khí thải xe",0
"idioms","Carpool (verb)","To share a ride with others heading in the same direction.","Many coworkers carpool to reduce fuel costs and emissions.","đi chung xe",0
"idioms","Season ticket (noun)","A long-term pass for transportation services, usually at a discounted rate.","I bought a season ticket to save money on my daily commute.","vé dài hạn",0
"idioms","Backseat driver (noun)","Someone who gives unwanted advice to the actual driver.","It's hard to focus with a backseat driver criticizing every move.","người ngồi sau hay chỉ đạo",0
"idioms","Self-driving cars","Vehicles that navigate and operate without human control.","Self-driving cars could transform the way we travel in the near future.","xe tự lái",0
"idioms","All-inclusive (adjective)","Covering all costs for food, drinks, and activities in one price.","They booked an all-inclusive vacation to avoid any extra expenses.","bao trọn gói",0
"idioms","Excursion (noun)","A short journey taken for leisure or interest.","We went on a guided excursion to the waterfalls.","chuyến tham quan",0
"idioms","Eat like pigs","To eat a lot, often in a messy or indulgent way.","During the buffet, we completely ate like pigs.","ăn ngấu nghiến",0
"idioms","Paradise (noun)","An ideal or beautiful place that feels like heaven.","The beach was a true paradise with crystal clear water.","thiên đường",0
"idioms","Get one’s bearings","To become familiar with a new place or situation.","I took a quick walk around the city to get my bearings.","định hướng vị trí",0
"idioms","To drink it in","To fully enjoy or appreciate something beautiful or meaningful.","She stood on the balcony and drank in the sunset view.","thưởng ngoạn",0
"idioms","Must-see (adjective)","Describes something worth visiting or watching.","The Colosseum is a must-see if you're in Rome.","đáng xem",0
"idioms","Show someone the sights","To act as a guide for someone visiting a place.","He showed his cousin the sights when she visited from abroad.","dẫn đi tham quan",0
"idioms","Attentive (adjective)","Being very alert and responsive to the needs of others.","The hotel staff were attentive and made our stay comfortable.","chu đáo",0
"idioms","Highlight (noun)","The most exciting or enjoyable part of an event.","The boat trip was the highlight of our holiday.","điểm nhấn",0
"idioms","Hurricane (noun)","A violent storm with strong winds and heavy rain.","Residents were evacuated ahead of the approaching hurricane.","bão lớn",0
"idioms","Freezing (adjective)","Extremely cold; near or below 0°C.","It was freezing outside, so I wore multiple layers.","lạnh cóng",0
"idioms","To get soaked (verb)","To become completely wet, typically from rain.","I forgot my umbrella and got soaked walking home.","ướt sũng",0
"idioms","Like a drowned rat (adjective)","extremely wet and looking miserable, often due to heavy rain","We got caught in the downpour and ended up looking like drowned rats.","ướt như chuột lột",0
"idioms","Heatwave (noun)","a stretch of exceptionally high temperatures for the time of year","A severe heatwave last summer caused multiple wildfires across the region.","đợt nắng nóng",0
"idioms","Humidity (noun)","the amount of moisture in the air, making it feel hot and sticky","The humidity in the jungle made every step feel exhausting.","độ ẩm",0
"idioms","Overcast (adjective)","covered with clouds, lacking sunshine","The skies remained overcast throughout our trip to the mountains.","u ám",0
"idioms","Forecast (noun)","a prediction about future weather conditions","According to the forecast, the rain will stop by evening.","dự báo",0
"idioms","A spell (noun)","a short period of a specific type of weather","We enjoyed a brief sunny spell before the rain returned.","một đợt",0
"idioms","Chucking it down (idiom, verb, informal)","raining extremely heavily","We had to cancel the match because it was chucking it down all morning.","mưa như trút nước",0
"idioms","Repetitive (adjective)","involving repeating actions that become dull or uninteresting","Her job at the factory felt repetitive and uninspiring.","lặp đi lặp lại",0
"idioms","To punch in (verb)","to record the start of a work shift","He punched in late and received a warning from his supervisor.","chấm công vào",0
"idioms","To unplug (verb)","to disconnect from work or technology to relax","She takes weekends off to completely unplug from work.","ngắt kết nối, thư giãn",0
"idioms","To learn the ropes (idiom, verb)","to become familiar with how something is done","He spent the first week learning the ropes at his new job.","học việc",0
"idioms","Snowed under (adjective)","having more work than can be easily handled","I'm snowed under with deadlines this week.","bị ngập trong công việc",0
"idioms","To pour one’s heart and soul into something (idiom, verb)","to give full dedication and effort to something","She poured her heart and soul into creating the nonprofit.","dốc hết tâm huyết",0
"idioms","The daily grind (noun)","a monotonous routine, especially work-related","He’s trying to escape the daily grind by starting his own business.","công việc hằng ngày nhàm chán",0
"idioms","A cog in the machine (noun)","a small part of a larger system, often feeling unimportant","She didn’t want to be just another cog in the machine.","một phần nhỏ trong hệ thống lớn",0
"idioms","Be a big fish in a small pond","to be important in a small or limited group","He left the big city to become a big fish in a small pond back home.","cá lớn trong ao nhỏ",0
"idioms","before your time","something that existed before you were born or involved","That old cinema was torn down before your time.","trước khi bạn được sinh ra",0
"idioms","below/under par","worse than expected or usual","His recent performance has been under par due to illness.","dưới mức bình thường",0
"idioms","big mouth","a person who often reveals secrets or talks too much","She’s such a big mouth—nothing stays private around her.","nhiều chuyện",0
"idioms","home sweet home","used to express affection for one’s home","After traveling for weeks, it felt great to be back to home sweet home.","không đâu bằng nhà",0
"idioms","in/for donkey’s years","a very long period of time","I haven’t played tennis in donkey’s years.","rất lâu",0
"idioms","in sb’s bad/good books","in someone's favor or disfavor","He’s in her bad books for missing the meeting.","mất lòng hoặc được lòng ai đó",0
"idioms","in the dark (about)","not knowing something important or being kept uninformed","We were kept in the dark about the budget cuts.","không biết gì",0
"idioms","in the middle of nowhere","in a very remote or isolated place","Their cabin is located in the middle of nowhere, far from any town.","ở nơi hẻo lánh",0
"idioms","in the nick of time","just in time to prevent something from happening","They reached the airport in the nick of time for their flight.","vừa kịp lúc",0
"idioms","in the sticks","in a remote or rural area far from urban life","They moved to a farmhouse way out in the sticks.","nơi hẻo lánh",0
"idioms","it’s as broad as it’s long","used when two options are equally acceptable or undesirable","We’ll get there either way—it’s as broad as it’s long.","cũng thế cả thôi",0
"idioms","a drop in the ocean","a small amount that makes little impact in a large context","Donating one dollar feels like a drop in the ocean compared to the total needed.","muối bỏ bể",0
"idioms","a home from home","a place where you feel as comfortable as at home","This cozy inn felt like a home from home during our travels.","ngôi nhà thứ hai",0
"idioms","a leopard can’t change its spots","someone's true nature cannot be changed","No matter what he says, a leopard can’t change its spots.","giang sơn dễ đổi, bản tính khó dời",0
"idioms","a sight for sore eyes","someone or something you’re delighted to see","After weeks abroad, her smile was a sight for sore eyes.","cảnh đẹp ý vui",0
"idioms","a stitch in time (saves nine)","fixing a problem early prevents it from getting worse","You should repair that leak now—a stitch in time saves nine.","một mũi khâu lúc này hơn chín mũi khâu sau",0
"idioms","a stone’s throw (away/from)","a very short distance away","The hotel is just a stone’s throw from the beach.","rất gần",0
"idioms","Achilles’ heel","a weakness in someone or something otherwise strong","Her Achilles’ heel is her tendency to overthink.","gót chân Achilles, điểm yếu",0
"idioms","add fuel to the fire","to make an already tense situation worse","Criticizing him in public only added fuel to the fire.","đổ thêm dầu vào lửa",0
"idioms","all in good time","be patient, things will happen when ready","You’ll hear the results soon— all in good time.","kiên nhẫn, lặng lẽ",0
"idioms","all mod cons","modern appliances and facilities in a home","The apartment has all mod cons, including a smart fridge.","tất cả tiện nghi hiện đại",0
"idioms","an act of God","a natural disaster that is beyond human control","The damage was caused by an act of God—no one could prevent it.","thảm họa thiên nhiên",0
"idioms","as the crow flies","in a straight line, without taking roads into account","It’s 20 miles as the crow flies, but longer by road.","theo đường chim bay",0
"idioms","at a loose end","with nothing planned or to occupy your time","I was at a loose end, so I decided to visit an old friend.","vô công rồi nghề",0
"idioms","at the drop of a hat","without hesitation or delay","She’s always ready to travel at the drop of a hat.","ngay lập tức",0
"idioms","for good","permanently, without the intention of changing","He moved abroad for good after graduating.","mãi mãi",0
"topic vocab","Abrupt (adjective)","happening suddenly without warning","His departure was so abrupt that no one had time to say goodbye.","đột ngột",0
"topic vocab","yearn (v) /jɜːn/","to strongly desire something that is hard to get","They yearned for a simpler life in the countryside.","ao ước",0
"topic vocab","absorbing (adj) /əbˈzɔːbɪŋ/","so interesting that it captures your full attention","The documentary was incredibly absorbing from start to finish.","hấp dẫn",0
"topic vocab","casual (adj) /ˈkæʒuəl/","relaxed, not formal or serious","His casual tone made the meeting feel informal.","tự nhiên, không trịnh trọng",0
"topic vocab","exhilarating (adj) /ɪɡˈzɪləreɪtɪŋ/","causing excitement and great happiness","Skydiving was the most exhilarating experience of my life.","gây hứng khởi, hồi hộp",0
"topic vocab","fatigue (n) /fəˈtiːɡ/","extreme physical or mental tiredness","Working non-stop for hours left her in a state of fatigue.","mệt nhọc",0
"topic vocab","idle (adj) /ˈaɪdl/","not doing any work or avoiding activity","The kids were idle all day during summer vacation.","lười biếng, vô công rồi nghề",0
"topic vocab","idle (adj) /ˈaɪdl/ 2","not in use or not active","The machines sat idle after the plant was shut down.","ăn không ngồi rồi",0
"topic vocab","impractical (adj) /ɪmˈpræktɪkl/","not sensible or realistic for practical use","The plan was deemed impractical due to its high costs.","không thực tế",0
"topic vocab","indispensable (adj) /ˌɪndɪˈspensəbl/","absolutely necessary, cannot be done without","Water is indispensable for all forms of life.","không thể thiếu",0
"topic vocab","indulge (v) /ɪnˈdʌldʒ/","to treat yourself to something you enjoy","She indulged in a long spa day after finishing her exams.","nuông chiều, thỏa mãn",0
"topic vocab","lifestyle (n) /ˈlaɪfstaɪl/","the typical way a person lives and behaves","He changed his lifestyle completely after the diagnosis.","lối sống",0
"topic vocab","leave (n) /liːv/","a break from work or duty, especially for rest","She’ll be on maternity leave until next spring.","thời gian nghỉ phép",0
"topic vocab","outing (n) /ˈaʊtɪŋ/","a brief trip taken for fun or leisure","We went on a family outing to the countryside.","cuộc đi chơi ngắn",0
"topic vocab","pastime (n) /ˈpɑːstaɪm/","an enjoyable activity done in your spare time","Playing board games is one of my favorite pastimes.","trò tiêu khiển",0
"topic vocab","pursue (v) /pəˈsjuː/","to actively work toward achieving something","She plans to pursue a degree in psychology.","theo đuổi",0
"topic vocab","recreation (n) /ˌrekriˈeɪʃn/","leisure activities that bring enjoyment","Hiking is a popular form of recreation in this area.","sự giải trí, tiêu khiển",0
"topic vocab","respite (n) /ˈrespaɪt/","a temporary pause from something tiring or unpleasant","The rain gave us a welcome respite from the heat.","thời gian nghỉ ngơi",0
"topic vocab","sedentary (adj) /ˈsedntri/","involving little movement or physical activity","Too much sedentary behavior can impact your health.","tĩnh tại, ít vận động",0
"topic vocab","socialise (v) /ˈsəʊʃəlaɪz/","to interact with others in a friendly way","She loves to socialise at parties and events.","giao tiếp xã hội",0
"topic vocab","solitude (n) /ˈsɒlɪtjuːd/","the peaceful state of being alone","He enjoys reading in solitude after a long day.","trạng thái cô độc dễ chịu",0
"topic vocab","tedious (adj) /ˈtiːdiəs/","dull and taking a long time to complete","Filing these reports is such a tedious task.","chán ngắt",0
"topic vocab","trivial (adj) /ˈtrɪviəl/","not important or worth serious attention","They argued over something completely trivial.","tầm thường, vụn vặt",0
"topic vocab","unwind (v) /ʌnˈwaɪnd/","to relax after stress or activity","A warm bath helps me unwind after work.","thư giãn",0
"topic vocab","venue (n) /ˈvenjuː/","a location where an event takes place","They picked a beachfront venue for their wedding.","địa điểm",0
"topic vocab","decline (v) /dɪˈklaɪn/","to decrease or weaken over time","Interest in the product began to decline last year.","giảm, suy tàn",0
"topic vocab","dedicated (adj) /ˈdedɪkeɪtɪd/","fully committed to a task or purpose","He’s a dedicated athlete who trains daily.","tận tâm",0
"topic vocab","delight (v) /dɪˈlaɪt/","to give someone great joy or satisfaction","The surprise party delighted her.","làm vui sướng",0
"topic vocab","desire (v) /dɪˈzaɪər/","to strongly wish for something","They deeply desired a chance to prove themselves.","ao ước, khát khao",0
"topic vocab","desire (n) /dɪˈzaɪər/","a strong feeling of wanting something","Her desire to win pushed her to train harder.","niềm mơ ước, khao khát",0
"topic vocab","devote (v) /dɪˈvəʊt/","to dedicate time or energy to something important","She devotes weekends to volunteering.","cống hiến",0
"topic vocab","devote (v) /dɪˈvəʊt/ 2","to allocate something, like money, for a use","They devoted more funds to education programs.","dành cho việc gì",0
"topic vocab","differentiate (v) /ˌdɪfəˈrenʃieɪt/","to recognize or show how things are different","Can you differentiate between the two versions?","phân biệt",0
"topic vocab","envy (v) /ˈenvi/","to feel unhappy because you want what others have","He envied her calm attitude in stressful situations.","ghen tị",0
"topic vocab","envy (n) /ˈenvi/","the feeling of jealousy toward others’ success or things","There was clear envy in her tone when she saw the car.","sự ghen tị",0
"topic vocab","fancy (v) /ˈfænsi/","to feel like doing or having something","Do you fancy grabbing a coffee later?","thích, muốn",0
"topic vocab","fascination (n) /ˌfæsɪˈneɪʃn/","a strong interest or attraction to something","He’s had a lifelong fascination with space travel.","sự quyến rũ, hấp dẫn",0
"topic vocab","favour (n) /ˈfeɪvər/","support or preference shown for something","His favour clearly leaned toward the second option.","sự ủng hộ",0
"topic vocab","favour (v) /ˈfeɪvər/","to give someone an advantage over others","The manager was accused of favouring his relatives.","thiên vị",0
"topic vocab","favour (v) /ˈfeɪvər/ 2","to do something helpful for someone","Would you mind doing me a favour and printing this?","sự giúp đỡ",0
"topic vocab","greedy (adj) /ˈɡriːdi/","wanting more than what is reasonable or needed","He got sick from being too greedy at the buffet.","tham lam",0
"topic vocab","impulse (n) /ˈɪmpʌls/","a sudden urge to act without thinking","She bought the shoes on impulse.","sự thôi thúc",0
"topic vocab","inclined (adj) /ɪnˈklaɪnd/","having a tendency or preference to do something","He’s inclined to believe her story.","có khuynh hướng",0
"topic vocab","liking (n) /ˈlaɪkɪŋ/","a fondness or preference for something","She has a liking for spicy dishes.","sự ưa thích",0
"topic vocab","mediocre (adj) /ˌmiːdiˈəʊkər/","not very good; average in quality","The movie was mediocre at best.","tầm thường",0
"topic vocab","motive (n) /ˈməʊtɪv/","a reason for doing something","The police are still trying to determine the motive.","động cơ",0
"topic vocab","mundane (adj) /mʌnˈdeɪn/","lacking excitement; very ordinary","He’s tired of his mundane job.","tẻ nhạt",0
"topic vocab","obsessed (adj) /əbˈsest/","completely fixated or preoccupied with something","She’s obsessed with fitness and health.","bị ám ảnh",0
"topic vocab","optional (adj) /ˈɒpʃənl/","not required; left to individual choice","The workshop is optional, but recommended.","tùy chọn",0
"topic vocab","passion (n) /ˈpæʃn/","a strong enthusiasm or love for something","She pursued her passion for photography.","niềm đam mê",0
"topic vocab","praise (v) /preɪz/","to express approval or admiration","He praised the team’s dedication.","khen ngợi",0
"topic vocab","praise (n) /preɪz/","words expressing admiration or approval","The project received a lot of praise.","lời khen",0
"topic vocab","resolve (v) /rɪˈzɒlv/","to firmly decide to take action","She resolved to quit smoking by the end of the month.","quyết tâm",0
"topic vocab","sacrifice (v) /ˈsækrɪfaɪs/","to give up something for a greater good","They sacrificed their vacation to finish the work.","hy sinh",0
"topic vocab","sacrifice (n) /ˈsækrɪfaɪs/","something valuable that is given up","Her sacrifice helped the family survive.","sự hy sinh",0
"topic vocab","strive (v) /straɪv/","to put in a lot of effort to reach a goal","He continues to strive for excellence.","phấn đấu",0
"topic vocab","taste (n) /teɪst/","a person's preference or judgment in aesomethingetics","She has great taste in interior design.","gu, khiếu thẩm mỹ",0
"topic vocab","tempting (adj) /ˈtemptɪŋ/","appealing and hard to resist","The dessert looked extremely tempting.","đầy cám dỗ",0
"topic vocab","urge (v) /ɜːdʒ/","to strongly advise or encourage someone to do something","Doctors urge patients to exercise regularly.","thúc giục",0
"topic vocab","welcome (v) /ˈwelkəm/","to express acceptance or support for something","We welcome any input that can help us improve.","hoan nghênh",0
"topic vocab","welcome (adj) /ˈwelkəm/","feeling accepted or appreciated","They made us feel very welcome at the party.","được chào đón",0
"topic vocab","worthwhile (adj) /ˌwɜːθˈwaɪl/","valuable enough to justify the effort","Volunteering is a worthwhile way to spend your time.","đáng giá",0
"topic vocab","adopt (v) /əˈdɒpt/","to begin using a new idea or approach","The school adopted a new learning strategy.","thực hiện",0
"topic vocab","adopt (v) /əˈdɒpt/ 2","to legally take a child into your family","They adopted a baby girl last year.","nhận nuôi",0
"topic vocab","ancestor (n) /ˈænsestər/","a family member from generations past","Her ancestors were early settlers in the region.","tổ tiên",0
"topic vocab","citizen (n) /ˈsɪtɪzn/","a person who belongs to a country and has legal rights there","She became a French citizen after living there for years.","công dân",0
"topic vocab","companion (n) /kəmˈpænjən/","someone who accompanies you or shares time with you","His dog was his constant companion.","người đồng hành",0
"topic vocab","dependant (n) /dɪˈpendənt/","someone who relies on another for financial support","He has three young dependants at home.","người sống phụ thuộc",0
"topic vocab","descendant (n) /dɪˈsendənt/","a person related to someone from an earlier generation","She is a direct descendant of the poet.","hậu duệ",0
"topic vocab","empathetic (adj) /ˌempəˈθetɪk/","able to understand and share another's feelings","Her empathetic nature made her a great counselor.","thấu cảm",0
"topic vocab","extrovert (n) /ˈekstrəvɜːt/","a person who enjoys social interaction and being around others","Being an extrovert, he thrived at parties.","người hướng ngoại",0
"topic vocab","foster (v) /ˈfɒstər/","to temporarily care for a child who is not biologically yours","They fostered children while waiting to adopt.","nuôi dưỡng tạm thời",0
"topic vocab","guardian (n) /ˈɡɑːdiən/","a person who legally cares for someone, especially a child","Her uncle was appointed as her legal guardian.","người giám hộ",0
"topic vocab","introvert (n) /ˈɪntrəvɜːt/","a person who prefers quiet and solitude over social interaction","As an introvert, he found large gatherings draining.","người hướng nội",0
"topic vocab","partner (n) /ˈpɑːtnər/","someone you team up with for an activity","My dance partner and I practice twice a week.","đối tác",0
"topic vocab","partner (n) /ˈpɑːtnər/ 2","someone you have a romantic relationship with","He lives with his partner in the countryside.","bạn đời",0
"topic vocab","peer (n) /pɪər/","someone of similar age, status, or background","He struggled to fit in with his peers at school.","người đồng lứa",0
"topic vocab","predecessor (n) /ˈpriːdəsesər/","a person who held a job or position before someone else","Her predecessor left the department in good shape.","người tiền nhiệm",0
"topic vocab","sibling (n) /ˈsɪblɪŋ/","a brother or sister","He often argued with his younger sibling.","anh/chị/em ruột",0
"topic vocab","spouse (n) /spaʊs/","a person's husband or wife","Each spouse needs to sign the form.","vợ hoặc chồng",0
"topic vocab","stepmother/son/etc (n) /ˈstepˌmʌðər/","a relative by marriage, not by birth","He had a difficult relationship with his stepfather.","mẹ kế, con riêng...",0
"topic vocab","successor (n) /səkˈsesər/","a person who follows another in a position or job","The board appointed her as the CEO’s successor.","người kế nhiệm",0
"topic vocab","sympathise (v) /ˈsɪmpəθaɪz/","to show concern or understanding for someone’s situation","I sympathise with their difficult position.","đồng cảm",0
"topic vocab","addiction (n) /əˈdɪkʃn/","a strong habit that is hard to give up","He’s battling an addiction to social media.","nghiện",0
"topic vocab","adore (v) /əˈdɔːr/","to deeply love or enjoy someone or something","She absolutely adores her new puppy.","rất yêu thích",0
"topic vocab","appeal (n) /əˈpiːl/","a feeling of excitement or interest in something","The appeal of starting a new hobby was hard to resist.","sự hấp dẫn",0
"topic vocab","appeal (n) /əˈpiːl/ 2","an attractive quality that makes people like something","The city’s appeal lies in its vibrant culture and nightlife.","tính hấp dẫn",0
"topic vocab","appeal (n) /əˈpiːl/ 3","a formal request to change a decision","The lawyer submitted an appeal to the court.","lời kháng cáo",0
"topic vocab","arbitrary (adj) /ˈɑːbɪtrəri/","based on random choice rather than reason","The rule seemed completely arbitrary and unfair.","tùy tiện",0
"topic vocab","aspiration (n) /ˌæspəˈreɪʃn/","a strong hope or ambition to achieve something","He’s always had aspirations to become an artist.","khát vọng",0
"topic vocab","bear (v) /beər/","to endure something unpleasant or painful","I can’t bear listening to that song anymore.","chịu đựng",0
"topic vocab","compulsory (adj) /kəmˈpʌlsəri/","required by law or a rule","Wearing seatbelts is compulsory in most countries.","bắt buộc",0
"topic vocab","content (adj) /kənˈtent/","feeling satisfied with your situation","She looked content after finishing the project.","hài lòng",0
"topic vocab","craving (n) /ˈkreɪvɪŋ/","a strong desire for something specific","He had a craving for salty snacks.","sự thèm muốn",0
"topic vocab","decline (v) /dɪˈklaɪn/ 2","to politely say no to an invitation or offer","She declined the invitation to the party.","từ chối",0
"topic vocab","dispute (n) /dɪˈspjuːt/","a prolonged argument or disagreement","The land dispute lasted for years.","tranh chấp",0
"topic vocab","distinguish (v) /dɪˈstɪŋɡwɪʃ/","to recognize the differences between things","It’s important to distinguish fact from opinion.","phân biệt",0
"topic vocab","diverse (adj) /daɪˈvɜːs/","showing a variety of different types","Our team is made up of people from diverse backgrounds.","đa dạng",0
"topic vocab","divorce (v) /dɪˈvɔːs/","to legally end a marriage","They divorced after 15 years of marriage.","ly hôn",0
"topic vocab","divorce (n) /dɪˈvɔːs/","the official end of a marriage","The divorce was finalized last month.","ly hôn",0
"topic vocab","equivalent (n) /ɪˈkwɪvələnt/","something with the same function or value","There’s no exact equivalent for that word in Spanish.","vật tương đương",0
"topic vocab","equivalent (adj) /ɪˈkwɪvələnt/","having the same value or function","Their roles are equivalent in the company structure.","tương đương",0
"topic vocab","exclude (v) /ɪkˈskluːd/","to leave something or someone out","They excluded several names from the final list.","loại trừ",0
"topic vocab","external (adj) /ɪkˈstɜːnl/","originating from outside something","The project requires input from external experts.","bên ngoài",0
"topic vocab","external (adj) /ɪkˈstɜːnl/ 2","located on the outside surface","The external walls need repainting.","ở bên ngoài",0
"topic vocab","identify (v) /aɪˈdentɪfaɪ/","to recognize someone or something","She couldn’t identify the man in the lineup.","xác nhận, nhận diện",0
"topic vocab","identify with (v) /aɪˈdentɪfaɪ wɪð/","to feel emotionally connected with someone","I identified with the main character’s struggles.","thấu hiểu",0
"topic vocab","integral (adj) /ˈɪntɪɡrəl/","essential to make something complete","Trust is an integral part of any relationship.","cần thiết, không thể thiếu",0
"topic vocab","integrate (v) /ˈɪntɪɡreɪt/","to become part of a group or society","It took him a while to integrate into the new community.","hòa nhập",0
"topic vocab","interfere (v) /ˌɪntəˈfɪər/","to get involved in a situation where you're not wanted","Please stop interfering in matters that don't concern you.","xen vào, quấy rầy",0
